name,tf_idf_tags_033,033_correct tags,033_sum(tags),tf_idf_tags_050,060_correct tags,060_sum(tags),tf_idf_tags_060,060_correct tags,060_sum(tags),tf_idf_tags_080,080_correct tags,080_sum(tags),hierarchical_cluster_tags,hier_correct_tags,hier_sum_tags,,,,
GoAnywhere MFT,",goanywhere,simplifies,secures,automates,critical,file,transfers,centralized,enterpriselevel,approach",,,",goanywhere,simplifies,secures,automates,critical,file,transfers,centralized,enterpriselevel,approach",,,",goanywhere,simplifies,secures,automates,critical,file,transfers,centralized,enterpriselevel,approach",,,",goanywhere,simplifies,secures,automates,critical,transfers,centralized,enterpriselevel,approach",,,",app",,,,,,
Storidge CSI Driver,",kubernetes,enterprise,storage,clusters,deliver,ee",,,",kubernetes,enterprise,storage,clusters,deliver,ee",,,",kubernetes,enterprise,storage,clusters,deliver,ee",,,",kubernetes,enterprise,storage,clusters,deliver,ee",,,",cluster,clusters",,,,,,
cassandra,",opensource,storage,apache,distributed,cassandra",,,",opensource,storage,apache,distributed,cassandra",,,",opensource,storage,apache,distributed,cassandra",,,",opensource,storage,apache,distributed,cassandra",,,",open,source",,,,,,
hello-world,",hello,world!,example,minimal,dockerization",,,",hello,world!,example,minimal,dockerization",,,",hello,world!,example,minimal,dockerization",,,",hello,world!,example,minimal,dockerization",,,\N,,,,,,
AzureKinectBuilderLinux,",azure,build,linux,environment,kinect",,,",azure,build,linux,environment,kinect",,,",build,linux,environment,kinect",,,",build,linux,environment,kinect",,,",build,ui",,,,,,
Docker Docs,",repo,dockers,documentation",,,",repo,dockers,documentation",,,",repo,dockers,documentation",,,",repo,dockers,documentation",,,",mage,ci",,,,,,
mariadb,",free,gnu,mariadb,communitydeveloped,fork,mysql,intended,remain,gpl",,,",free,gnu,mariadb,communitydeveloped,fork,mysql,intended,remain,gpl",,,",gnu,mariadb,communitydeveloped,fork,mysql,intended,remain,gpl",,,",gnu,mariadb,communitydeveloped,fork,mysql,intended,remain,gpl",,,",ai",,,,,,
tomcat,",open,source,apache,tomcat,implementation,java,servlet,javaserver,pages,technologies",,,",apache,tomcat,implementation,java,servlet,javaserver,pages,technologies",,,",tomcat,implementation,servlet,javaserver,pages,technologies",,,",servlet,javaserver,pages,technologies",,,",open,source",,,,,,
fluentd,",data,open,source,fluentd,collector,unified,logging,layer",,,",fluentd,collector,unified,logging,layer",,,",fluentd,collector,unified,logging,layer",,,",fluentd,collector,unified,logging,layer",,,",open,source",,,,,,
.NET Core Runtime,",core,net,runtime",,,",core,net,runtime",,,",core,net,runtime",,,",core,net,runtime",,,",mage,ci",,,,,,
Software AG Terracotta DB,",terracotta,db",,,",terracotta,db",,,",terracotta,db",,,",terracotta,db",,,",mage,ci",,,,,,
ThingsBoard Professional Edition CoAP Transport Microservice,",microservice,apis,thingsboard,pe,transport,device,based,protocol,coap",,,",microservice,apis,thingsboard,pe,transport,device,based,protocol,coap",,,",apis,thingsboard,pe,transport,device,based,protocol,coap",,,",transport,protocol,coap",,,",os,ros",,,,,,
Samples Ml Mssql Image Classifier,",data,deployed,sample,project,consumes,app,sql,big,cluster,ctp,21",,,",deployed,consumes,app,sql,big,cluster,ctp,21",,,",deployed,consumes,big,ctp,21",,,,,,",app",,,,,,
couchbase,",server,database,distributed,nosql,document,couchbase,architecture",,,",server,database,distributed,nosql,document,couchbase,architecture",,,",database,distributed,nosql,document,couchbase,architecture",,,",nosql,document,couchbase,architecture",,,",data,base,database",,,,,,
azure databricks API,",api,submit,jobs,azure,databricks",,,",api,submit,jobs,azure,databricks",,,",api,submit,jobs,databricks",,,",api,submit,jobs,databricks",,,\N,,,,,,
Instana Dynamic APM,",services,applications,containerized,solution,instana,apm,automatically,discovers,monitors,health",,,",services,containerized,solution,instana,apm,automatically,discovers,monitors,health",,,",containerized,solution,instana,apm,automatically,discovers,monitors,health",,,",instana,discovers,monitors",,,",application,app",,,,,,
Windows Communication Foundation (WCF),",wcf",,,",wcf",,,",wcf",,,",wcf",,,\N,,,,,,
Azure Industrial OPC Gateway microservice,",microservice,gateway,contains,opc",,,",microservice,gateway,contains,opc",,,",microservice,gateway,contains,opc",,,",microservice,gateway,contains,opc",,,",os,ros",,,,,,
crate,",database,data,sql,distributed,machine,realtime,cratedb,handles,massive,amounts",,,",sql,distributed,machine,realtime,cratedb,handles,massive,amounts",,,",sql,machine,cratedb,handles,massive,amounts",,,",cratedb,handles,massive,amounts",,,",data,base,database",,,,,,
AI for Earth Blob Python,",blob,python,ai,earth,mount",,,",blob,python,ai,earth,mount",,,",blob,python,ai,earth,mount",,,",blob,python,ai,earth,mount",,,\N,,,,,,
Azure Stream Analytics Simulated Sensor,",module,sample,periodically,simulated,temperature,readings",,,",module,sample,periodically,simulated,temperature,readings",,,",module,sample,periodically,simulated,temperature,readings",,,",module,sample,periodically,simulated,temperature,readings",,,",module,reading",,,,,,
owncloud,",server,file,owncloud,selfhosted,sync,share",,,",server,file,owncloud,selfhosted,sync,share",,,",server,file,owncloud,selfhosted,sync,share",,,",file,owncloud,selfhosted,sync,share",,,",web,host,artifacts,entry,point.,nodejs,os,ui,node,js",,,,,,
iojs,",based,nodejs,platform,iojs,npm,compatible,originally",,,",based,nodejs,platform,iojs,npm,compatible,originally",,,",based,nodejs,iojs,npm,compatible,originally",,,",iojs,npm,compatible,originally",,,",base,based",,,,,,
glassfish,",implementation,java,ee,glassfish,reference",,,",implementation,java,ee,glassfish,reference",,,",implementation,java,ee,glassfish,reference",,,",implementation,java,ee,glassfish,reference",,,\N,,,,,,
.NET Framework,",windows,net,framework,aspnet,wcf,communication",,,",windows,net,framework,aspnet,wcf,communication",,,",windows,net,framework,aspnet,wcf,communication",,,",windows,net,framework,aspnet,wcf,communication",,,",mage,ci",,,,,,
gradle,",build,development,support,focus,tool,automation,gradle,multilanguage",,,",build,development,support,focus,tool,automation,gradle,multilanguage",,,",build,development,support,focus,tool,automation,gradle,multilanguage",,,",build,focus,automation,gradle,multilanguage",,,\N,,,,,,
Weave Cloud Agent,",containers,cloud,code,fast,focus,developers,monitor,manage,writing,weave,visualize,enabling",,,",code,fast,focus,developers,monitor,manage,writing,weave,visualize,enabling",,,",fast,monitor,manage,writing,weave,visualize,enabling",,,,,,\N,,,,,,
Hpcpack Hpcacm,",azure,cluster,management,clusters,hpc",,,",azure,cluster,management,clusters,hpc",,,",cluster,management,clusters,hpc",,,",cluster,management,clusters,hpc",,,",cluster,clusters",,,,,,
Blockbridge Volume Plugin for Kubernetes (CSI Driver),",kubernetes,enterprise,storage,blockbridge,volume,plugin,persistent,secure,multitenant,30,orchestrator",,,",storage,blockbridge,volume,plugin,persistent,secure,multitenant,30,orchestrator",,,",blockbridge,plugin,persistent,secure,multitenant,30,orchestrator",,,",blockbridge,persistent,multitenant,30,orchestrator",,,",volume,mount,secure",,,,,,
cirros,",cloud,os,running,cirros,tiny,specializes",,,",cloud,os,running,cirros,tiny,specializes",,,",cloud,os,running,cirros,tiny,specializes",,,",cloud,os,running,cirros,tiny,specializes",,,",run",,,,,,
Mssql Tools,",server,containers,microsoft,sql,linux,tools,command,line,sqlcmd/bcp",,,",containers,microsoft,sql,linux,tools,command,line,sqlcmd/bcp",,,",sql,tools,command,line,sqlcmd/bcp",,,",command,line,sqlcmd/bcp",,,",mage,ci",,,,,,
Software AG Apama Correlator,",apama,correlator",,,",apama,correlator",,,",apama,correlator",,,",apama,correlator",,,",mage,ci",,,,,,
Windows,",windows,base,containers",,,",windows,base,containers",,,",windows,base,containers",,,",windows,base,containers",,,",mage,ci",,,,,,
openjdk,",opensource,edition,platform,openjdk,implementation,java,standard",,,",opensource,edition,platform,openjdk,implementation,java,standard",,,",opensource,edition,openjdk,implementation,java,standard",,,",edition,openjdk,implementation,java,standard",,,",open,source",,,,,,
"SAP HANA, express edition (database and application services)",",platform,inmemory,business,digital,transformation",,,",platform,inmemory,business,digital,transformation",,,",platform,inmemory,business,digital,transformation",,,",inmemory,business,digital,transformation",,,",-",,,,,,
.NET Core,",core,net,aspnet",,,",core,net,aspnet",,,",core,net,aspnet",,,",core,net,aspnet",,,\N,,,,,,
Azureiotedge Modbus,",edge,azure,iot,module,capable,reading,modbus,devices",,,",edge,iot,module,capable,reading,modbus,devices",,,",edge,module,capable,reading,modbus,devices",,,",capable,reading,modbus,devices",,,",module,reading",,,,,,
Oracle Database Enterprise Edition,",database,enterprise,edition,oracle,12c",,,",database,enterprise,edition,oracle,12c",,,",database,enterprise,edition,oracle,12c",,,",database,enterprise,edition,oracle,12c",,,",data,base,database",,,,,,
jobber,",jobber,alternative,cron,sophisticated,statusreporting,errorhandling",,,",jobber,alternative,cron,sophisticated,statusreporting,errorhandling",,,",jobber,alternative,cron,sophisticated,statusreporting,errorhandling",,,",jobber,alternative,cron,sophisticated,statusreporting,errorhandling",,,",native,alt",,,,,,
hola-mundo,",dockercon,â¡hola,eu,2015,barcelona!",,,",dockercon,â¡hola,eu,2015,barcelona!",,,",dockercon,â¡hola,eu,2015,barcelona!",,,",dockercon,â¡hola,eu,2015,barcelona!",,,",5",,,,,,
Software AG ARCM,",software,ag,arcm",,,",software,ag,arcm",,,",software,ag,arcm",,,",software,ag,arcm",,,",mage,ci",,,,,,
sapmachine,",sapmachine",,,",sapmachine",,,",sapmachine",,,",sapmachine",,,",mage,ci",,,,,,
kong,",cloudnative,api,gateway,service,mesh,apis,microservices",,,",cloudnative,api,gateway,service,mesh,apis,microservices",,,",cloudnative,api,gateway,service,mesh,apis,microservices",,,",cloudnative,gateway,mesh,apis,microservices",,,",os,ros",,,,,,
busybox,",base,busybox",,,",base,busybox",,,",base,busybox",,,",base,busybox",,,",mage,ci",,,,,,
Anaconda,",data,open,platform,python,anaconda,leading,science,powered",,,",python,anaconda,leading,science,powered",,,",python,anaconda,leading,science,powered",,,",anaconda,leading,science,powered",,,",data",,,,,,
Dynatrace,",applications,monitoring,clusters,dockerized,box",,,",applications,monitoring,clusters,dockerized,box",,,",applications,monitoring,clusters,dockerized,box",,,",applications,monitoring,clusters,dockerized,box",,,",application,app",,,,,,
AI for Earth Base Python,",base,python,ai,earth,default,cuda,92",,,",base,python,ai,earth,default,cuda,92",,,",base,python,ai,earth,default,cuda,92",,,",python,ai,earth,default,cuda,92",,,",mage,ci",,,,,,
IoT Edge OPC Proxy module,",edge,azure,iot,module,proxy,industrial,contains,opc",,,",edge,iot,module,proxy,industrial,contains,opc",,,",edge,iot,module,proxy,industrial,contains,opc",,,",iot,proxy",,,",ai",,,,,,
Azure Industrial OPC UA device onboarding microservice,",microservice,azure,industrial,device,contains,opc,ua,onboarding",,,",microservice,industrial,device,contains,opc,ua,onboarding",,,",microservice,industrial,device,contains,opc,ua,onboarding",,,",device,onboarding",,,",os,ros",,,,,,
kibana,",data,elasticsearch,kibana,shape,â€�?structured,unstructured,indexed",,,",elasticsearch,kibana,shape,â€�?structured,unstructured,indexed",,,",elasticsearch,kibana,shape,â€�?structured,unstructured,indexed",,,",elasticsearch,kibana,shape,â€�?structured,unstructured,indexed",,,",search,arch",,,,,,
odoo,",opensource,business,apps,known,suite,odoo,openerp",,,",opensource,business,apps,known,suite,odoo,openerp",,,",opensource,business,apps,known,suite,odoo,openerp",,,",business,apps,known,suite,odoo,openerp",,,\N,,,,,,
logstash,",events,tool,logstash,managing,logs",,,",events,tool,logstash,managing,logs",,,",events,tool,logstash,managing,logs",,,",events,tool,logstash,managing,logs",,,",tool",,,,,,
chronograf,",data,influxdb,series,visualization,tool,chronograf",,,",data,influxdb,series,visualization,tool,chronograf",,,",data,influxdb,series,visualization,tool,chronograf",,,",influxdb,series,visualization,tool,chronograf",,,",data",,,,,,
oraclelinux,",oracle,builds,linux",,,",oracle,builds,linux",,,",oracle,builds,linux",,,",oracle,builds,linux",,,",build,ui",,,,,,
Microsoft Cognitive Toolkit (Nightly CNTK build),",free,easytouse,opensource,commercialgrade,deep,learning,toolkit,microsoft",,,",free,easytouse,opensource,commercialgrade,deep,learning,toolkit,microsoft",,,",easytouse,commercialgrade,deep,learning,toolkit,microsoft",,,",easytouse,commercialgrade,deep,toolkit",,,",open,source",,,,,,
streams,",elasticsearch,realtime,streaming",,,",elasticsearch,realtime,streaming",,,",elasticsearch,realtime,streaming",,,",elasticsearch,realtime,streaming",,,",search,arch",,,,,,
Windows IIS,",microsoft,iis",,,",microsoft,iis",,,",microsoft,iis",,,",microsoft,iis",,,",mage,ci",,,,,,
Cisco ACI-CNI,",deep,enterprise,fabric,integration,cisco,acicni,deployments,aci",,,",deep,enterprise,fabric,integration,cisco,acicni,deployments,aci",,,",deep,enterprise,fabric,integration,cisco,acicni,deployments,aci",,,",deep,fabric,integration,cisco,acicni,deployments,aci",,,\N,,,,,,
Hpc Azure Cyclecloud,",azure,tool,clusters,operating,managing,hpc,creating,cyclecloud,compute",,,",azure,tool,clusters,operating,managing,hpc,creating,cyclecloud,compute",,,",azure,clusters,operating,managing,hpc,creating,cyclecloud,compute",,,",managing,hpc,creating,cyclecloud,compute",,,",cluster,clusters",,,,,,
Bleemeo,",cloud,based,easy,monitoring,bleemeo,deploy,solution,devops,teams",,,",cloud,based,easy,monitoring,bleemeo,deploy,solution,devops,teams",,,",based,easy,monitoring,bleemeo,deploy,solution,devops,teams",,,",bleemeo,deploy,devops,teams",,,",base,based",,,,,,
euleros,",release,euleros",,,",release,euleros",,,",release,euleros",,,",release,euleros",,,",mage,ci",,,,,,
julia,",programming,language,dynamic,highperformance,computing,highlevel,julia,technical",,,",programming,language,dynamic,highperformance,computing,highlevel,julia,technical",,,",programming,dynamic,highperformance,computing,highlevel,julia,technical",,,",computing,highlevel,julia,technical",,,",programming,language",,,,,,
fsharp,",language,objectoriented,imperative,functional,f#,multiparadigm,encompassing,styles",,,",language,objectoriented,imperative,functional,f#,multiparadigm,encompassing,styles",,,",objectoriented,imperative,functional,f#,multiparadigm,encompassing,styles",,,",objectoriented,imperative,functional,f#,multiparadigm,encompassing,styles",,,",programming,language",,,,,,
swipl,",free,swiprolog,offers,comprehensive,prolog,environment",,,",free,swiprolog,offers,comprehensive,prolog,environment",,,",free,swiprolog,offers,comprehensive,prolog,environment",,,",swiprolog,offers,comprehensive,prolog,environment",,,",comprehensive",,,,,,
postgres,",postgresql,objectrelational,database,reliability,data,integrity",,,",postgresql,objectrelational,database,reliability,data,integrity",,,",postgresql,objectrelational,database,reliability,data,integrity",,,",postgresql,objectrelational,reliability,integrity",,,",data,base,database",,,,,,
IBM Db2 Warehouse sample data container,",data,sample,warehouse,db2â®",,,",data,sample,warehouse,db2â®",,,",data,sample,warehouse,db2â®",,,",data,sample,warehouse,db2â®",,,",ai",,,,,,
ubuntu-debootstrap,",/,debootstrap,variant=minbase,components=mainuniverse,include=inetutilspingiproute2,<suite>",,,",/,debootstrap,variant=minbase,components=mainuniverse,include=inetutilspingiproute2,<suite>",,,",/,debootstrap,variant=minbase,components=mainuniverse,include=inetutilspingiproute2,<suite>",,,",/,debootstrap,variant=minbase,components=mainuniverse,include=inetutilspingiproute2,<suite>",,,",base,based",,,,,,
jenkins,",jenkins",,,",jenkins",,,",jenkins",,,",jenkins",,,",mage,ci",,,,,,
Oryx python-2.7,",host,built,web,artifacts,entry,point,python27",,,",host,built,web,artifacts,entry,point,python27",,,",artifacts,entry,point,python27",,,",python27",,,",web,host,artifacts,entry,point.,nodejs,os,ui,node,js",,,,,,
OmniSci Open Source Edition 4.8,",data,big,analytics,omnisci,pioneer,gpuaccelerated,redefining,speed,scale,querying,visualization",,,",big,analytics,omnisci,pioneer,gpuaccelerated,redefining,speed,scale,querying,visualization",,,",big,omnisci,pioneer,gpuaccelerated,redefining,speed,scale,querying,visualization",,,,,,",data",,,,,,
neo4j,",database,native,scalable,highly,neo4j,robust,graph",,,",database,native,scalable,highly,neo4j,robust,graph",,,",database,native,scalable,highly,neo4j,robust,graph",,,",native,scalable,highly,neo4j,robust,graph",,,",data,base,database",,,,,,
MySQL Server Enterprise Edition,",database,open,source,worlds,popular",,,",database,open,source,worlds,popular",,,",database,open,source,worlds,popular",,,",database,worlds,popular",,,",data,base,database",,,,,,
Software AG ARIS Connect,",software,ag,aris,connect",,,",software,ag,aris,connect",,,",software,ag,aris,connect",,,",software,ag,aris,connect",,,\N,,,,,,
xwiki,",enterprise,open,source,advanced,wiki,xwiki:",,,",enterprise,open,source,advanced,wiki,xwiki:",,,",enterprise,source,advanced,wiki,xwiki:",,,",enterprise,advanced,wiki,xwiki:",,,",pr",,,,,,
Software AG Universal Messaging Server,",universal,messaging",,,",universal,messaging",,,",universal,messaging",,,",universal,messaging",,,",mage,ci",,,,,,
irssi,",client,irc,irssi,future",,,",client,irc,irssi,future",,,",client,irc,irssi,future",,,",client,irc,irssi,future",,,",client,cli",,,,,,
InterSystems IRIS Data Platform,",data,sql,analytics,platform,nosql,complete,cloudbased,dbms,embedded,integration,tools",,,",sql,analytics,nosql,complete,cloudbased,dbms,embedded,integration,tools",,,",complete,cloudbased,dbms,embedded,integration",,,",cloudbased",,,",base,based",,,,,,
Software AG Zementis Modeler,",software,ag,zementis,modeler",,,",software,ag,zementis,modeler",,,",software,ag,zementis,modeler",,,",software,ag,zementis,modeler",,,",mage,ci",,,,,,
HPE Dynamic Provisioner for Kubernetes,",kubernetes,dynamic,volume,plugin,driver,provisioner,hpe,flexvolume",,,",kubernetes,dynamic,volume,plugin,driver,provisioner,hpe,flexvolume",,,",kubernetes,dynamic,volume,plugin,driver,provisioner,hpe,flexvolume",,,",volume,plugin,driver,provisioner,hpe,flexvolume",,,",vision",,,,,,
adminer,",database,management,php,file",,,",database,management,php,file",,,",database,management,php,file",,,",database,management,php,file",,,",data,base,database",,,,,,
Azure CLI Tools,",azure,environment,tools,cli,setup,codegen",,,",environment,tools,cli,setup,codegen",,,",environment,tools,cli,setup,codegen",,,",environment,tools,cli,setup,codegen",,,",tool",,,,,,
mcrdemoproductfamily,",samples,mcr",,,",samples,mcr",,,",samples,mcr",,,",samples,mcr",,,\N,,,,,,
Azure Cognitive Services Sentiment,",azure,cognitive,services,sentiment,analysis",,,",azure,cognitive,services,sentiment,analysis",,,",cognitive,services,sentiment,analysis",,,",cognitive,services,sentiment,analysis",,,\N,,,,,,
HPE Operations Bridge Agent,",micro,focus,operations,bridge,agent",,,",micro,focus,operations,bridge,agent",,,",micro,focus,operations,bridge,agent",,,",micro,focus,operations,bridge,agent",,,",open,source,pe",,,,,,
Windows Server Core,",windows,server,core,base,containers",,,",windows,server,core,base,containers",,,",windows,server,core,base,containers",,,",windows,core,base,containers",,,",mage,ci",,,,,,
Presidio Recognizers Store,",presidio,store,custom,recognizers,manages",,,",presidio,store,custom,recognizers,manages",,,",presidio,store,custom,recognizers,manages",,,",presidio,store,custom,recognizers,manages",,,",customer,custom",,,,,,
Data Server Manager Developer-C Edition,",free,version,developers,environments,feature,nonproduction,ideal",,,",free,version,developers,environments,feature,nonproduction,ideal",,,",free,version,developers,environments,feature,nonproduction,ideal",,,",version,developers,environments,feature,nonproduction,ideal",,,",developers,dev,developer,free,product,version,environment,feature,non-production,environments.,developers.,production,environments",,,,,,
Presidio Image Anonymizer,",presidio,anonymizer",,,",presidio,anonymizer",,,",presidio,anonymizer",,,",presidio,anonymizer",,,",mage,ci",,,,,,
Microsoft Cognitive Toolkit (Official CNTK release),",free,easytouse,opensource,commercialgrade,deep,learning,toolkit,microsoft",,,",free,easytouse,opensource,commercialgrade,deep,learning,toolkit,microsoft",,,",easytouse,commercialgrade,deep,learning,toolkit,microsoft",,,",easytouse,commercialgrade,deep,toolkit",,,",open,source",,,,,,
ASP.NET Core Runtime (Preview),",core,aspnet,runtime,preview",,,",core,aspnet,runtime,preview",,,",core,aspnet,runtime,preview",,,",core,aspnet,runtime,preview",,,",mage,ci",,,,,,
debian,",free,opensource,software,linux,distribution,debian,thats,composed,entirely",,,",free,software,linux,distribution,debian,thats,composed,entirely",,,",distribution,debian,thats,composed,entirely",,,",debian,thats,composed,entirely",,,",open,source",,,,,,
ThingsBoard Professional Edition Standalone,",postgresql,opensource,features,iot,thingsboard,platform,version,advanced,embedded,valueadd,96",,,",postgresql,features,thingsboard,version,advanced,embedded,valueadd,96",,,",postgresql,features,version,advanced,embedded,valueadd,96",,,",valueadd,96",,,",open,source",,,,,,
hylang,",hy,lisp,dialect,translates,expressions,pythons,abstract,syntax,tree",,,",hy,lisp,dialect,translates,expressions,pythons,abstract,syntax,tree",,,",hy,lisp,dialect,translates,expressions,pythons,abstract,syntax,tree",,,",hy,lisp,dialect,translates,expressions,pythons,abstract,syntax,tree",,,",ee",,,,,,
Oryx node-6.10,",nodejs,host,built,web,artifacts,entry,point,610",,,",nodejs,host,built,artifacts,entry,point,610",,,",610",,,",610",,,",web,host,artifacts,entry,point.,nodejs,os,ui,node,js",,,,,,
StorageOS Node,",containers,storage,converged",,,",containers,storage,converged",,,",containers,storage,converged",,,",containers,storage,converged",,,",ai",,,,,,
mongo,",availability,easy,document,databases,mongodb,scalability",,,",availability,easy,document,databases,mongodb,scalability",,,",availability,easy,document,databases,mongodb,scalability",,,",availability,easy,document,databases,mongodb,scalability",,,",data,base,database",,,,,,
Service Fabric Onebox,",windows,service,cluster,run,fabric,linux,mac,machine",,,",windows,service,cluster,run,fabric,linux,mac,machine",,,",windows,service,cluster,run,fabric,linux,mac,machine",,,",cluster,run,fabric,linux,mac",,,",mage,ci",,,,,,
ThingsBoard Professional Edition JS Executor Microservice,",functions,thingsboard,pe,engine,written,component,rule,node,remotely,execute,userdefined,js,isolate",,,",rule,node,remotely,execute,userdefined,js,isolate",,,",userdefined,js,isolate",,,,,,",web,host,artifacts,entry,point.,nodejs,os,ui,node,js",,,,,,
Oryx node-6.2,",nodejs,host,built,web,artifacts,entry,point,62",,,",nodejs,host,built,artifacts,entry,point,62",,,",62",,,",62",,,",web,host,artifacts,entry,point.,nodejs,os,ui,node,js",,,,,,
GitLab Enterprise Edition,",gitlab,unifies,issues,code,review,ci,cd,ui",,,",gitlab,unifies,issues,code,review,ci,cd,ui",,,",gitlab,unifies,issues,code,review,ci,cd,ui",,,",gitlab,unifies,issues,code,review,ci,cd,ui",,,",review,code,issue",,,,,,
influxdb,",database,built,source,influxdb,handle,timeseries,ground,write,query,loads",,,",influxdb,handle,timeseries,ground,write,query,loads",,,",influxdb,handle,timeseries,ground,write,query,loads",,,",timeseries,ground,write,query,loads",,,",open,source",,,,,,
NetScaler CPX Express Rel 11.1,",free,fullfeatured,microservice,aware,load,balancer",,,",free,fullfeatured,microservice,aware,load,balancer",,,",free,fullfeatured,microservice,aware,load,balancer",,,",fullfeatured,microservice,aware,load,balancer",,,",os,ros",,,,,,
mongo-express,",nodejs,written,interface,mongodb,admin,webbased,express",,,",nodejs,written,interface,mongodb,admin,webbased,express",,,",nodejs,written,interface,mongodb,admin,webbased,express",,,",interface,mongodb,admin,webbased,express",,,\N,,,,,,
archlinux,",linux,lightweight,arch,distribution,aimed,flexibility",,,",linux,lightweight,arch,distribution,aimed,flexibility",,,",linux,lightweight,arch,distribution,aimed,flexibility",,,",linux,lightweight,arch,distribution,aimed,flexibility",,,",ai",,,,,,
Software AG Microgateway Trial,",microgateway",,,",microgateway",,,",microgateway",,,",microgateway",,,",mage,ci",,,,,,
orientdb,",multimodel,open,source,documents,nosql,dbms,orientdb,combines,graphs",,,",multimodel,documents,nosql,dbms,orientdb,combines,graphs",,,",multimodel,documents,nosql,dbms,orientdb,combines,graphs",,,",multimodel,documents,dbms,orientdb,combines,graphs",,,",load,workloads,document",,,,,,
AI for Earth Base Python - CUDA 9.0,",base,python,ai,earth,cuda,90",,,",base,python,ai,earth,cuda,90",,,",base,python,ai,earth,cuda,90",,,",python,ai,earth,cuda,90",,,\N,,,,,,
HPE Cloud Volumes Container Provider for Kubernetes,",cloud,kubernetes,support,volume,plugin,driver,hpe,flexvolume,provisioning,volumes,provider",,,",kubernetes,support,volume,plugin,driver,hpe,flexvolume,provisioning,volumes,provider",,,",kubernetes,plugin,hpe,flexvolume,provisioning,volumes,provider",,,",kubernetes,hpe,provider",,,",vision",,,,,,
redmine,",project,ruby,web,management,framework,application,written,rails,flexible,redmine",,,",project,ruby,framework,written,rails,flexible,redmine",,,",ruby,rails,flexible,redmine",,,",redmine",,,",application,app",,,,,,
swarm,",swarm:,dockernative,clustering",,,",swarm:,dockernative,clustering",,,",swarm:,dockernative,clustering",,,",swarm:,dockernative,clustering",,,",native,alt",,,,,,
php-zendserver,",server,web,platform,application,zend,integrated,php,mobile,apps",,,",application,zend,integrated,php,mobile,apps",,,",zend,integrated,php,mobile,apps",,,",zend,integrated",,,",application,app",,,,,,
traefik,",traefik,cloud,native,edge,router",,,",traefik,cloud,native,edge,router",,,",traefik,cloud,native,edge,router",,,",traefik,cloud,native,edge,router",,,\N,,,,,,
Ospo Ghcrawler,",api,storing,github,crawler,walks,entities,transitively,retrieving,contents",,,",api,storing,github,crawler,walks,entities,transitively,retrieving,contents",,,",storing,github,crawler,walks,entities,transitively,retrieving,contents",,,",storing,github,crawler,walks,entities,transitively,retrieving,contents",,,",storing",,,,,,
Azure Cognitive Services,",azure,cognitive,services,support",,,",azure,cognitive,services,support",,,",azure,cognitive,services,support",,,",cognitive,services,support",,,\N,,,,,,
Ospo Ghcrawler Dashboard,",application,control,crawler,dashboard,ghcrawler",,,",application,control,crawler,dashboard,ghcrawler",,,",application,control,crawler,dashboard,ghcrawler",,,",application,control,crawler,dashboard,ghcrawler",,,",application,app",,,,,,
ACI Sidecar,",azure,application,monitoring,logging,instances,docsmicrosoftcom",,,",application,monitoring,logging,instances,docsmicrosoftcom",,,",application,monitoring,logging,instances,docsmicrosoftcom",,,",monitoring,logging,instances,docsmicrosoftcom",,,",os,ros",,,,,,
bonita,",opensource,management,business,workflow,process,bonita,suite",,,",opensource,management,business,workflow,process,bonita,suite",,,",opensource,management,business,workflow,process,bonita,suite",,,",business,workflow,process,bonita,suite",,,",open,source",,,,,,
DataStax Enterprise Server,",search,analytics,apache,distribution,integrated,graph,cassandraâ„�?capabilities",,,",search,analytics,apache,distribution,integrated,graph,cassandraâ„�?capabilities",,,",search,analytics,apache,distribution,integrated,graph,cassandraâ„�?capabilities",,,",search,integrated,graph,cassandraâ„�?capabilities",,,",arch,search",,,,,,
hello-seattle,",hello,dockercon,2016,seattle!",,,",hello,dockercon,2016,seattle!",,,",hello,dockercon,2016,seattle!",,,",hello,dockercon,2016,seattle!",,,\N,,,,,,
buildpack-deps,",collection,build,modules,dependencies,common,installing,gems",,,",collection,build,modules,dependencies,common,installing,gems",,,",collection,build,modules,dependencies,common,installing,gems",,,",collection,modules,dependencies,common,installing,gems",,,",build,ui",,,,,,
Concord,",engine,focus,continuous,concord,workflow,orchestration,strong,deployment,pipelines",,,",engine,focus,continuous,concord,workflow,orchestration,strong,deployment,pipelines",,,",engine,focus,continuous,concord,workflow,orchestration,strong,deployment,pipelines",,,",continuous,concord,workflow,orchestration,strong,deployment,pipelines",,,",line,ip",,,,,,
Azure Industrial OPC Twin microservice,",microservice,azure,industrial,contains,opc,twin",,,",microservice,industrial,contains,opc,twin",,,",microservice,industrial,contains,opc,twin",,,",microservice,industrial,contains,opc,twin",,,",os,ros",,,,,,
docker-dev,",project,open,source,run,application,lightweight,pack,ship",,,",project,run,application,lightweight,pack,ship",,,",project,run,lightweight,pack,ship",,,",run,pack,ship",,,",application,app",,,,,,
FullArmor HAPI File Share Mount,",volume,file,securely,mount,fullarmor/hapifs,allows,authenticate,internal,active,directory,shares,credentials",,,",volume,file,securely,mount,fullarmor/hapifs,allows,authenticate,internal,active,directory,shares,credentials",,,",securely,mount,fullarmor/hapifs,allows,authenticate,internal,active,directory,shares,credentials",,,",active,directory",,,",volume,mount,secure",,,,,,
